3.080677645594701725e-02,3.066125760540640288e-03,3.258212945929626209e-03
3.354608453422813080e-02,6.802924416481545555e-04,6.892023894092547120e-04
1.265118438407904743e-02,2.976237030788558835e-04,2.954974780481553487e-04
3.298870375517302337e-03,1.735614742704567025e-04,1.735573064256994494e-04
7.595387519322905527e-04,1.048167359663164074e-04,9.836587865089542037e-05
2.647906692404714078e-04,5.621407563888411365e-05,6.360458732030657486e-05
2.827454498396962857e-05,1.142653140346395243e-05,1.151435901473826546e-05
6.172037938418766870e-06,2.885696924378967223e-06,3.147590669654698104e-06
9.544220058111054225e-07,4.971513578769521897e-07,4.875848085291335940e-07
2.662543254712197918e-07,1.825956775627188167e-07,1.791823513684165821e-07
1.608848977128475967e-03,1.021044883222768608e-03,1.047951790981288805e-03
4.948459939149007364e-03,1.409694900898318150e-03,1.467244831254794525e-03
5.773662109811042789e-03,1.847786591263716506e-03,1.790966202321699931e-03
4.288520892180598156e-03,2.164115585314025855e-03,2.014530066354845717e-03
2.593256821629271076e-03,1.704543487365203086e-03,1.588545218762612427e-03
2.354085501821815123e-03,1.409025146472348954e-03,1.177267798894199996e-03
7.419820861307340268e-04,3.359232962423899013e-04,3.176866655018207729e-04
2.508404102027889495e-04,1.034969426548974043e-04,1.051946284006366440e-04
3.964716592211363572e-05,2.010030276399648474e-05,1.828082471610092380e-05
9.704226436563612287e-06,6.436063155114917335e-06,6.263925086294572665e-06
1.373155030127916169e-02,1.837744707345266224e-03,1.770314101758659053e-03
3.428949176818973238e-02,4.294639574482381206e-03,4.439832232065812206e-03
7.293212494847942096e-02,9.596543048905989415e-03,8.538744801971059895e-03
1.365288830270848797e-01,1.826634736235324685e-02,1.792050559340320481e-02
2.458002484281721356e-01,2.719123144249610546e-02,2.929685623056416111e-02
4.192550091023617975e-01,5.595669443380180130e-02,5.237425053117444884e-02
7.278197783917742490e-03,7.036326677398443627e-04,6.522790674891891169e-04
